blocksize,exp_n100_pbkz_t1_dg,pred_n100_pbkz_t1_dg,pv21pred_n100_pbkz_t1_dg,exp_n100_pbkz_t5_dg,pred_n100_pbkz_t5_dg,pv21pred_n100_pbkz_t5_dg,exp_n100_pbkz_t10_dg,pred_n100_pbkz_t10_dg,pv21pred_n100_pbkz_t10_dg,exp_n100_pbkz_t15_dg,pred_n100_pbkz_t15_dg,pv21pred_n100_pbkz_t15_dg,exp_n100_pbkz_t20_dg,pred_n100_pbkz_t20_dg,pv21pred_n100_pbkz_t20_dg,pred_n100_bkz_t5_dg,pv21pred_n100_bkz_t5_dg,exp_n100_bkz_t5_dg,pred_n100_bkz_t10_dg,pv21pred_n100_bkz_t10_dg,exp_n100_bkz_t10_dg,pred_n100_bkz_t15_dg,pv21pred_n100_bkz_t15_dg,exp_n100_bkz_t15_dg,pred_n100_bkz_t20_dg,pv21pred_n100_bkz_t20_dg,exp_n100_bkz_t20_dg,exp_n100_pbkz_t1_tern,pred_n100_pbkz_t1_tern,exp_n100_pbkz_t5_tern,pred_n100_pbkz_t5_tern,exp_n100_pbkz_t10_tern,pred_n100_pbkz_t10_tern,exp_n100_pbkz_t15_tern,pred_n100_pbkz_t15_tern,exp_n100_pbkz_t20_tern,pred_n100_pbkz_t20_tern,pred_n100_bkz_t5_tern,exp_n100_bkz_t5_tern,pred_n100_bkz_t10_tern,exp_n100_bkz_t10_tern,pred_n100_bkz_t15_tern,exp_n100_bkz_t15_tern,pred_n100_bkz_t20_tern,exp_n100_bkz_t20_tern,exp_n93_pbkz_t1_dg,pred_n93_pbkz_t1_dg,pv21pred_n93_pbkz_t1_dg,exp_n93_pbkz_t5_dg,pred_n93_pbkz_t5_dg,pv21pred_n93_pbkz_t5_dg,exp_n93_pbkz_t10_dg,pred_n93_pbkz_t10_dg,pv21pred_n93_pbkz_t10_dg,exp_n93_pbkz_t15_dg,pred_n93_pbkz_t15_dg,pv21pred_n93_pbkz_t15_dg,exp_n93_pbkz_t20_dg,pred_n93_pbkz_t20_dg,pv21pred_n93_pbkz_t20_dg,pred_n93_bkz_t5_dg,pv21pred_n93_bkz_t5_dg,exp_n93_bkz_t5_dg,pred_n93_bkz_t10_dg,pv21pred_n93_bkz_t10_dg,exp_n93_bkz_t10_dg,pred_n93_bkz_t15_dg,pv21pred_n93_bkz_t15_dg,exp_n93_bkz_t15_dg,pred_n93_bkz_t20_dg,pv21pred_n93_bkz_t20_dg,exp_n93_bkz_t20_dg,exp_n93_pbkz_t1_cbin,pred_n93_pbkz_t1_cbin,exp_n93_pbkz_t5_cbin,pred_n93_pbkz_t5_cbin,exp_n93_pbkz_t10_cbin,pred_n93_pbkz_t10_cbin,exp_n93_pbkz_t15_cbin,pred_n93_pbkz_t15_cbin,exp_n93_pbkz_t20_cbin,pred_n93_pbkz_t20_cbin,pred_n93_bkz_t5_cbin,exp_n93_bkz_t5_cbin,pred_n93_bkz_t10_cbin,exp_n93_bkz_t10_cbin,pred_n93_bkz_t15_cbin,exp_n93_bkz_t15_cbin,pred_n93_bkz_t20_cbin,exp_n93_bkz_t20_cbin
50,0.007,0.014221,0.015052,0.161,0.188136,0.230277,0.319,0.325681,0.437025,0.45,0.419915,0.588074,0.475,0.490052,0.698517,0.00035924974705656555,0.0003832837612770997,0.0,0.02225224495655743,0.023723001889358337,0.03,0.0829974940094546,0.09273369174640916,0.13,0.15009815655493175,0.17625803737681325,0.205,0.015,0.007885,0.139,0.137593,0.29,0.270344,0.387,0.376071,0.499,0.461832,0.00014862591162933126,0.0,0.012634035779635934,0.025,0.054047679749713605,0.075,0.10652153211556292,0.125,0.012,0.011431,0.011714,0.129,0.141035,0.165380,0.254,0.251856,0.325640,0.35,0.332668,0.455006,0.438,0.395642,0.559477,0.0002896783673862773,0.000297535791416092,0.0,0.017601849772658912,0.018160120031496453,0.025,0.06357246167485639,0.06856517108026257,0.08,0.11413562227368587,0.12900951983228895,0.14,0.011,0.004700,0.094,0.079375,0.195,0.166032,0.318,0.244443,0.381,0.315435,8.004181034236413e-05,0.0,0.00742596787508925,0.01,0.03157744823693856,0.04,0.06258621156646509,0.075
51,0.01,0.026005,0.027694,0.249,0.259979,0.330096,0.422,0.420267,0.578949,0.555,0.521822,0.735256,0.604,0.593361,0.833492,0.0007267324250566297,0.0007727145896227139,0.005,0.03703295835145473,0.039812125007820706,0.03,0.12400742712432415,0.14169062583278755,0.12,0.21128768078224913,0.25531856957195553,0.235,0.023,0.015201,0.212,0.205113,0.403,0.377553,0.537,0.502805,0.656,0.596621,0.00031166006732780946,0.0,0.022129011138873503,0.025,0.08608160029362223,0.09,0.16104331177700332,0.115,0.02,0.020574,0.021223,0.179,0.197964,0.241537,0.354,0.332569,0.447620,0.478,0.424358,0.597623,0.568,0.492548,0.706837,0.0005848560086063263,0.0005991495064165802,0.0,0.02917920967050435,0.03036525450666641,0.02,0.09544102261866569,0.10527758854783238,0.07,0.16253122986643653,0.18939741185845385,0.185,0.018,0.009026,0.14,0.122796,0.29,0.246503,0.444,0.352696,0.54,0.443884,0.00016919443309840586,0.0,0.013115163366181872,0.025,0.05131043592754157,0.1,0.09768563389710286,0.185
52,0.031,0.044929,0.048328,0.332,0.345023,0.451925,0.527,0.521661,0.722913,0.665,0.624263,0.859863,0.708,0.692336,0.929105,0.0014537775658084572,0.0015405655790030157,0.005,0.060114398672008316,0.06541372120676923,0.09,0.18003180418445622,0.21096375930995828,0.155,0.28857016691868587,0.35840121511894113,0.33,0.038,0.027804,0.3,0.293985,0.534,0.503062,0.68,0.637602,0.783,0.728608,0.0006499818766225986,0.005,0.038084979947240034,0.04,0.13413616496719055,0.155,0.23715157988159724,0.295,0.035,0.035156,0.036637,0.251,0.268023,0.339921,0.445,0.423796,0.586216,0.583,0.522358,0.740559,0.663,0.591855,0.837299,0.0011673586522168858,0.0011929361020264267,0.0,0.04731346311466976,0.04985143494590322,0.055,0.13978948522611698,0.15834484357043568,0.125,0.22551814600333375,0.2713621557650865,0.23,0.026,0.016546,0.23,0.185042,0.411,0.354118,0.594,0.488075,0.685,0.594217,0.00035638242326897605,0.0,0.022883645952925392,0.025,0.08231493236226638,0.145,0.1502300203308476,0.23
53,0.065,0.073659,0.080365,0.451,0.440921,0.588942,0.649,0.624113,0.847597,0.753,0.720787,0.943475,0.803,0.780895,0.979029,0.002863876804676188,0.003025520546782866,0.01,0.09474148669166353,0.10475809578932804,0.115,0.25285484221784305,0.3039807666821143,0.27,0.38088696231314506,0.48335757664633217,0.385,0.059,0.048490,0.413,0.404362,0.68,0.636926,0.804,0.764921,0.886,0.841092,0.0013425575566198254,0.005,0.06409580360231544,0.075,0.2030799881869226,0.23,0.3373317846508441,0.335,0.059,0.057294,0.060568,0.347,0.350772,0.459757,0.556,0.521815,0.726869,0.695,0.621425,0.861885,0.772,0.687787,0.930144,0.002294650069801852,0.0023400404221039306,0.015,0.07472884237967384,0.08005368235221837,0.09,0.19892418387691188,0.23194572962435514,0.28,0.3036853729003167,0.37658372485442354,0.375,0.045,0.029122,0.337,0.271207,0.555,0.488498,0.74,0.640980,0.836,0.747985,0.0007451520595196342,0.0,0.039300909754328615,0.065,0.1296605859834119,0.2,0.22595590509044425,0.285
54,0.101,0.114961,0.127709,0.571,0.543139,0.726711,0.74,0.720912,0.934578,0.827,0.805343,0.984333,0.874,0.854282,0.996247,0.005530032187122144,0.005827872685445684,0.005,0.14428875761138366,0.1626520739980103,0.14,0.342236158331668,0.4206292771027888,0.345,0.4843775521729724,0.6209202653481651,0.52,0.09,0.080873,0.538,0.531308,0.795,0.763672,0.909,0.868553,0.956,0.921816,0.002733419819395013,0.005,0.10487889466220505,0.115,0.29639072457179694,0.395,0.4594956647770698,0.455,0.082,0.089354,0.096213,0.455,0.443920,0.594278,0.66,0.621202,0.848908,0.793,0.715443,0.943721,0.84,0.774489,0.979032,0.004425088684114074,0.004506384307238538,0.01,0.11449904573678082,0.12520341809379804,0.18,0.27398986973194683,0.32869137473798377,0.28,0.3955503277985965,0.5020413946348694,0.39,0.064,0.049407,0.454,0.384324,0.692,0.639914,0.862,0.789388,0.934,0.876802,0.001540605639995265,0.0,0.06615167085391807,0.105,0.1991732025981342,0.215,0.32934331358810887,0.4
55,0.159,0.171170,0.194140,0.66,0.645353,0.845854,0.825,0.805762,0.979953,0.888,0.873662,0.997392,0.932,0.910158,0.999660,0.01042508362376757,0.010971257740658597,0.01,0.21147162958653598,0.2434274307519369,0.265,0.44508154804869676,0.5546195211248578,0.415,0.5924700774991605,0.7545604494375785,0.585,0.141,0.129135,0.667,0.663593,0.883,0.867154,0.959,0.938857,0.982,0.968827,0.005463159560706451,0.01,0.16580229984391467,0.195,0.41364444718471316,0.45,0.5947409211965559,0.585,0.14,0.133654,0.147092,0.56,0.543159,0.729403,0.766,0.715630,0.934457,0.865,0.798611,0.984120,0.904,0.847278,0.996152,0.00833850442983846,0.008489400007704859,0.005,0.16950611763603765,0.18974805572277254,0.195,0.3640910202993354,0.4473292258859098,0.375,0.49709426988662686,0.6378217579954163,0.47,0.103,0.080968,0.581,0.521717,0.83,0.786754,0.948,0.904917,0.985,0.957599,0.0031366222651050065,0.01,0.10855202455047089,0.1,0.2958593918917348,0.315,0.4601695042978745,0.535
56,0.224,0.243490,0.282160,0.757,0.740528,0.930267,0.904,0.874243,0.996087,0.941,0.924200,0.999780,0.961,0.948963,0.999988,0.019107578281657794,0.020111837690928627,0.035,0.2971788516627058,0.34892204187791487,0.28,0.555214787503624,0.6922243693104132,0.5,0.6969172421388338,0.8651883505457477,0.72,0.197,0.197293,0.794,0.785441,0.945,0.937699,0.985,0.977147,0.991,0.990114,0.010672702376769894,0.01,0.251458983112093,0.31,0.5478843529791976,0.475,0.7275678548929838,0.68,0.202,0.191994,0.216430,0.661,0.642546,0.846394,0.843,0.799123,0.979546,0.928,0.866725,0.997275,0.948,0.903660,0.999637,0.015294394391706814,0.015591902028531803,0.025,0.2416053213405915,0.27708793467709436,0.285,0.46568978769911834,0.5804544127021819,0.405,0.601987229749883,0.7675159191463661,0.625,0.162,0.128199,0.703,0.671018,0.921,0.901661,0.981,0.970602,0.994,0.991210,0.0062633485702603365,0.005,0.1725629536460586,0.205,0.42080370735617745,0.445,0.6092154277804022,0.625
57,0.312,0.331223,0.391323,0.828,0.822460,0.976418,0.946,0.924786,0.999578,0.976,0.958181,0.999992,0.985,0.973376,1.000000,0.033909510210502765,0.0357711883355445,0.065,0.39931154746446995,0.4758632902096037,0.415,0.6642180112610566,0.8149599952017158,0.625,0.78966741175392,0.9400640297686848,0.75,0.298,0.287814,0.868,0.881968,0.98,0.976445,0.996,0.993149,0.999,0.997217,0.02029074306528817,0.02,0.3631604219092836,0.415,0.6849402214673914,0.68,0.8403827350386185,0.81,0.293,0.265059,0.306052,0.762,0.735506,0.929698,0.911,0.867386,0.995884,0.957,0.918034,0.999759,0.973,0.943696,0.999986,0.027205515594951653,0.027830692964402375,0.02,0.33060801994897965,0.3875412809047133,0.36,0.5726440316337422,0.7139632195730479,0.67,0.7026294158707451,0.8732123545609367,0.725,0.239,0.195781,0.822,0.809799,0.97,0.968236,0.997,0.994695,0.999,0.999004,0.012219176235032872,0.005,0.2637456635851222,0.345,0.5670015423733752,0.66,0.7563966779681202,0.745
58,0.407,0.431229,0.516509,0.884,0.887214,0.994531,0.967,0.958662,0.999979,0.986,0.978824,1.000000,0.991,0.987196,1.000000,0.05801982210752438,0.0614927246477945,0.09,0.5121681452026177,0.6138923220122899,0.465,0.7632729135985747,0.9068618822369217,0.725,0.8648855914819559,0.9795728769084813,0.845,0.388,0.399724,0.928,0.945787,0.995,0.992867,0.999,0.997996,1.0,0.998829,0.037361941861715785,0.055,0.4959452750035514,0.54,0.8067953279715594,0.8,0.9209931932597258,0.905,0.384,0.351804,0.414880,0.838,0.816209,0.975752,0.946,0.918682,0.999534,0.975,0.953385,0.999991,0.99,0.969611,1.000000,0.04675246223819729,0.048116299783881517,0.075,0.4334169616169513,0.5160258325840528,0.465,0.6771229200204197,0.8303048421611645,0.655,0.7918019014536928,0.9438407893572268,0.815,0.319,0.287362,0.905,0.913821,0.993,0.993766,1.0,0.999119,1.0,1.000000,0.02319185332824557,0.025,0.38416184285551014,0.405,0.7168042187501283,0.705,0.876401927491764,0.87
59,0.502,0.537899,0.647175,0.932,0.933899,0.999216,0.984,0.979165,1.000000,0.991,0.990081,1.000000,0.998,0.994194,1.000000,0.09527664787016192,0.10171484845715714,0.11,0.6269682661816027,0.7464111630789291,0.725,0.8454024325971305,0.9624328703175784,0.89,0.9202667799259868,0.9949796852440619,0.955,0.521,0.526860,0.976,0.979827,1.0,0.997953,1.0,0.998968,1.0,0.999048,0.06625572340462019,0.1,0.6369860012222737,0.65,0.8987363338523119,0.905,0.9680516089341211,0.95,0.476,0.449057,0.537485,0.913,0.880842,0.994197,0.972,0.953907,0.999975,0.991,0.975525,1.000000,0.997,0.984821,1.000000,0.07733392227203555,0.0802973525131279,0.155,0.5438569966785382,0.6509237153428274,0.64,0.7712967270041484,0.9155689051661943,0.79,0.8643714899294178,0.9808174348604788,0.915,0.434,0.403321,0.966,0.972091,1.0,0.999010,1.0,1.000000,1.0,1.000000,0.04263350880054427,0.065,0.528262910048017,0.6,0.8456773874371685,0.845,0.9524637322732337,0.96
