blocksize,exp_n100_pbkz_t1_dg,pred_n100_pbkz_t1_dg,pv21pred_n100_pbkz_t1_dg,exp_n100_pbkz_t5_dg,pred_n100_pbkz_t5_dg,pv21pred_n100_pbkz_t5_dg,exp_n100_pbkz_t10_dg,pred_n100_pbkz_t10_dg,pv21pred_n100_pbkz_t10_dg,exp_n100_pbkz_t15_dg,pred_n100_pbkz_t15_dg,pv21pred_n100_pbkz_t15_dg,exp_n100_pbkz_t20_dg,pred_n100_pbkz_t20_dg,pv21pred_n100_pbkz_t20_dg,pred_n100_bkz_t5_dg,pv21pred_n100_bkz_t5_dg,exp_n100_bkz_t5_dg,pred_n100_bkz_t10_dg,pv21pred_n100_bkz_t10_dg,exp_n100_bkz_t10_dg,pred_n100_bkz_t15_dg,pv21pred_n100_bkz_t15_dg,exp_n100_bkz_t15_dg,pred_n100_bkz_t20_dg,pv21pred_n100_bkz_t20_dg,exp_n100_bkz_t20_dg,exp_n100_pbkz_t1_tern,pred_n100_pbkz_t1_tern,exp_n100_pbkz_t5_tern,pred_n100_pbkz_t5_tern,exp_n100_pbkz_t10_tern,pred_n100_pbkz_t10_tern,exp_n100_pbkz_t15_tern,pred_n100_pbkz_t15_tern,exp_n100_pbkz_t20_tern,pred_n100_pbkz_t20_tern,pred_n100_bkz_t5_tern,exp_n100_bkz_t5_tern,pred_n100_bkz_t10_tern,exp_n100_bkz_t10_tern,pred_n100_bkz_t15_tern,exp_n100_bkz_t15_tern,pred_n100_bkz_t20_tern,exp_n100_bkz_t20_tern,exp_n93_pbkz_t1_dg,pred_n93_pbkz_t1_dg,pv21pred_n93_pbkz_t1_dg,exp_n93_pbkz_t5_dg,pred_n93_pbkz_t5_dg,pv21pred_n93_pbkz_t5_dg,exp_n93_pbkz_t10_dg,pred_n93_pbkz_t10_dg,pv21pred_n93_pbkz_t10_dg,exp_n93_pbkz_t15_dg,pred_n93_pbkz_t15_dg,pv21pred_n93_pbkz_t15_dg,exp_n93_pbkz_t20_dg,pred_n93_pbkz_t20_dg,pv21pred_n93_pbkz_t20_dg,pred_n93_bkz_t5_dg,pv21pred_n93_bkz_t5_dg,exp_n93_bkz_t5_dg,pred_n93_bkz_t10_dg,pv21pred_n93_bkz_t10_dg,exp_n93_bkz_t10_dg,pred_n93_bkz_t15_dg,pv21pred_n93_bkz_t15_dg,exp_n93_bkz_t15_dg,pred_n93_bkz_t20_dg,pv21pred_n93_bkz_t20_dg,exp_n93_bkz_t20_dg,exp_n93_pbkz_t1_cbin,pred_n93_pbkz_t1_cbin,exp_n93_pbkz_t5_cbin,pred_n93_pbkz_t5_cbin,exp_n93_pbkz_t10_cbin,pred_n93_pbkz_t10_cbin,exp_n93_pbkz_t15_cbin,pred_n93_pbkz_t15_cbin,exp_n93_pbkz_t20_cbin,pred_n93_pbkz_t20_cbin,pred_n93_bkz_t5_cbin,exp_n93_bkz_t5_cbin,pred_n93_bkz_t10_cbin,exp_n93_bkz_t10_cbin,pred_n93_bkz_t15_cbin,exp_n93_bkz_t15_cbin,pred_n93_bkz_t20_cbin,exp_n93_bkz_t20_cbin
60,0.623,0.643889,0.768917,0.967,0.964421,0.999939,0.994,0.990293,1.000000,0.996,0.995553,1.000000,0.999,0.997337,1.000000,0.1495983796006719,0.16122233008295556,0.17,0.7338161746644407,0.8558956630812119,0.635,0.9071962793898641,0.9884366876105389,0.915,0.9570947146115872,0.9991682609293304,0.955,0.647,0.657578,0.995,0.993887,1.0,0.999005,1.0,0.999077,1.0,0.999060,0.11254946871769066,0.195,0.7680191802630646,0.77,0.9560402773671502,0.93,0.9898202083102342,0.98,0.57,0.551583,0.663624,0.953,0.928349,0.999127,0.987,0.975892,1.000000,0.996,0.988074,1.000000,0.998,0.992873,1.000000,0.12263195663942633,0.12880203493958584,0.145,0.6534890894498808,0.7758987302767225,0.72,0.8491945775028982,0.9662068093225747,0.82,0.9183377745800947,0.9952316479229247,0.945,0.558,0.538042,0.988,0.994262,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.07548568672295024,0.09,0.6799899638065715,0.715,0.9340474767583231,0.91,0.9872980220350536,0.97
61,0.717,0.741531,0.867832,0.988,0.982421,1.000000,0.996,0.995683,1.000000,1.0,0.997906,1.000000,1.0,0.998565,1.000000,0.2238513520054231,0.24381823891566431,0.32,0.8242626653812757,0.9314898679483983,0.84,0.9491681462427048,0.9974246353210867,0.95,0.9791058063981194,0.999913613099695,0.99,0.776,0.777108,1.0,0.998149,1.0,0.999131,1.0,0.999081,1.0,1.000000,0.18208700545963005,0.23,0.8720266491000315,0.89,0.9847142798926349,0.98,0.9975439820924572,0.99,0.668,0.652765,0.779889,0.976,0.960207,0.999927,0.995,0.988308,1.000000,0.999,0.994482,1.000000,1.0,0.996695,1.000000,0.1858554547073679,0.19783488963337853,0.21,0.753551907272619,0.8755732902331165,0.82,0.9080524910171107,0.9896111983932451,0.9,0.9548471472222889,0.9991905564685581,0.955,0.667,0.678320,0.996,0.999355,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.12803072237334007,0.2,0.8156579411115239,0.815,0.979459323104424,0.975,0.997875882116851,1.0
62,0.803,0.824533,0.936038,0.995,0.991948,1.000000,0.997,0.997986,1.000000,1.0,0.998774,1.000000,1.0,0.998959,1.000000,0.318335817595828,0.35024094806042017,0.4,0.8935052256418627,0.9737298046292114,0.885,0.974780366856745,0.999607833137262,0.95,0.9908743650012799,0.9999947898780803,0.985,0.87,0.872448,1.0,0.999030,1.0,0.999137,1.0,1.000000,1.0,1.000000,0.27884538170573664,0.325,0.9408165985022142,0.89,0.9958930266403238,1.0,0.9995718976851693,1.0,0.762,0.745818,0.873752,0.988,0.979622,1.000000,0.997,0.994615,1.000000,1.0,0.997406,1.000000,1.0,0.998301,1.000000,0.26849008149764664,0.2897826743451586,0.305,0.8370926226492165,0.9421208632967311,0.845,0.9484929635937677,0.9976665466575203,0.955,0.9772223455000376,0.99991234471886,0.975,0.773,0.805416,1.0,0.999355,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.20670352826845018,0.33,0.9143055900945913,0.885,0.9957256483245336,0.985,0.9998033086391434,0.995
63,0.863,0.889321,0.974731,0.998,0.996428,1.000000,1.0,0.998831,1.000000,1.0,0.999029,1.000000,1.0,0.999050,1.000000,0.42953068618193796,0.47604056084083035,0.46,0.9412106418608557,0.9921883766800427,0.94,0.9887598886538627,0.999961529853156,0.985,0.9964739458843342,0.9999998315222859,1.0,0.927,0.937395,1.0,0.999133,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.4019035816523912,0.52,0.9777546642357672,0.98,0.9991812570757664,0.995,0.9999493006720196,1.0,0.826,0.825200,0.938407,0.994,0.990311,1.000000,1.0,0.997480,1.000000,1.0,0.998577,1.000000,1.0,0.998877,1.000000,0.3690630878936393,0.4032690218721437,0.42,0.900604610921179,0.978209732937833,0.94,0.973659304331254,0.9996368974428725,0.97,0.989596874668955,0.9999943642263632,0.98,0.86,0.902038,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.3155031958800312,0.39,0.9697424611191023,0.95,0.9994628022349681,0.995,0.9999912425945306,1.0
64,0.915,0.935539,0.992172,0.998,0.998283,1.000000,1.0,0.999079,1.000000,1.0,0.999080,1.000000,1.0,0.999061,1.000000,0.5497106132720088,0.6105275980240803,0.63,0.9706508417352931,0.9982715738796052,0.97,0.995551628617159,0.999997714026106,0.99,0.9988239181470749,0.9999999973085988,1.0,0.965,0.974327,1.0,0.999137,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.542670675106549,0.59,0.9934231602873049,0.99,0.9998847492034074,1.0,0.9999962603793905,1.0,0.886,0.887739,0.975295,0.996,0.995607,1.000000,1.0,0.998623,1.000000,1.0,0.998969,1.000000,1.0,0.999036,1.000000,0.4823416447195723,0.5314891094129535,0.57,0.9443853207888955,0.9936000277598588,0.945,0.9877898045988134,0.9999629724812426,0.98,0.9957464835342715,0.9999998002975318,0.995,0.932,0.961027,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.4520475291787144,0.555,0.9924388431228004,0.955,0.9999636809994139,1.0,0.9999998403600243,1.0
65,0.951,0.965508,0.998181,0.999,0.998938,1.000000,1.0,0.999130,1.000000,1.0,0.999084,1.000000,1.0,1.000000,1.000000,0.6681219485916439,0.7383934949188934,0.755,0.9868518679427,0.9997272420645229,0.99,0.9984670182645295,0.9999999226989524,1.0,0.9996762462723654,0.999999999980446,1.0,0.98,0.991397,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.6848146145363766,0.73,0.9985234508143866,0.995,0.9999892760078894,1.0,0.9999998479812416,1.0,0.926,0.933042,0.992157,0.997,0.997945,1.000000,1.0,0.999004,1.000000,1.0,0.999066,1.000000,1.0,0.999064,1.000000,0.5996399449343011,0.6621820128211056,0.7,0.9716393296151609,0.9985883697045234,0.985,0.9949194913924795,0.9999976623964002,0.995,0.9984740111078325,0.9999999963847707,0.995,0.969,0.988484,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.6040760381687649,0.64,0.9987666622469525,1.0,0.9999988413644505,1.0,0.9999999990059987,1.0
66,0.973,0.983111,0.999698,1.0,0.999124,1.000000,1.0,0.999134,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.7737897618809126,0.8445994682328163,0.765,0.9947667721211202,0.9999705968411773,0.995,0.9995558446277847,0.9999999986031944,1.0,0.9999317187094042,0.9999999999999405,1.0,0.992,0.997601,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.8090046808955768,0.815,0.9997581773862906,1.0,0.999999398022017,1.0,0.9999999970977193,1.0,0.96,0.963092,0.998111,0.999,0.998848,1.000000,1.0,0.999099,1.000000,1.0,0.999080,1.000000,1.0,0.999065,1.000000,0.7107391085291974,0.7805862842718152,0.765,0.9869093805083968,0.9997752632789686,0.97,0.9981337889168488,0.9999999138124545,1.0,0.9995372311060797,0.9999999999690458,1.0,0.995,0.997651,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.7503421181370119,0.77,0.9998802979356904,1.0,0.9999999849652371,1.0,0.9999999999982767,1.0
67,0.988,0.992404,0.999966,1.0,0.999160,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.8586815760863935,0.9202016747528614,0.81,0.9981784201671476,0.9999979267002296,1.0,0.9998979686880908,0.9999999999873347,1.0,0.999990087933729,0.9999999999999999,1.0,0.999,0.999240,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9008847176523518,0.94,0.9999725073756224,1.0,0.9999999819600404,1.0,0.9999999999785166,1.0,0.982,0.981257,0.999670,1.0,0.999138,1.000000,1.0,0.999113,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.806351929564667,0.8742022342700468,0.85,0.9945782703903305,0.999975173698057,1.0,0.9994126053052211,0.9999999982483914,0.995,0.9998886701607003,0.9999999999998839,1.0,0.999,0.999696,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.8679222471192787,0.865,0.9999937694230916,1.0,0.9999999999328032,1.0,0.9999999999999993,1.0
68,0.994,0.996811,1.000000,1.0,0.999163,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.9197578513379724,0.9654129975140092,0.93,0.9994604843385615,0.9999999084525049,1.0,0.9999829491520261,0.9999999999999459,1.0,0.9999991353880237,1.0,1.0,1.0,0.999538,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9571612782983079,0.925,0.9999979683655115,1.0,0.9999999997520476,1.0,0.999999999999951,1.0,0.992,0.991223,0.999960,1.0,0.999208,1.000000,1.0,0.999113,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.8807832173258653,0.9376726374596392,0.875,0.9980132831811898,0.9999981711032156,1.0,0.9998494400438607,0.9999999999814794,1.0,0.9999806704956048,0.9999999999999998,1.0,1.0,0.999696,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9440029666274268,0.92,0.9999998453685959,1.0,0.9999999999999143,1.0,1.0,1.0
69,0.998,0.998656,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.9589164952393272,0.9876560314565473,0.975,0.9998700605825197,0.9999999975770077,1.0,0.9999981451125541,0.9999999999999999,1.0,0.9999999612970767,1.0,1.0,1.0,0.999566,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9850242751837187,0.975,0.9999999106564081,1.0,0.9999999999986905,1.0,1.0000000000000007,1.0,0.995,0.996161,1.000000,1.0,0.999218,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.9329867754857397,0.9739025379332457,0.94,0.9993716044190737,0.9999999136882289,0.995,0.9999708951797078,0.9999999999999039,1.0,0.9999978592727123,1.0,1.0,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9819585632998853,0.97,0.9999999983998767,1.0,1.0,1.0,1.0,1.0
70,0.999,0.999327,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.9811808504580879,0.9964625841494754,0.98,0.9999761999647667,0.9999999999631908,1.0,0.9999998846933308,1.0,0.995,0.9999999992539036,1.0,1.0,1.0,0.999566,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9958941035133446,0.99,0.9999999979124495,1.0,0.9999999999999987,1.0,1.0000000000000009,1.0,0.999,0.998354,1.000000,1.0,0.999218,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,1.0,1.000000,1.000000,0.9658358799324787,0.9909733996601564,0.97,0.9998353433549482,0.9999999974928018,1.0,0.9999961662623806,0.9999999999999998,1.0,0.9999998693624388,1.0,1.0,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,1.0,1.000000,0.9958446052901326,0.995,0.9999999999940791,1.0,1.0,1.0,1.0,1.0
