tours,n100_dg,n100_dg_pv21,n100_dg_witness,n100_dg_sq,n100_dg_sq_pv21,n100_dg_sq_witness,n100_tern,n100_tern_pv21,n100_tern_witness,n100_tern_sq,n100_tern_sq_pv21,n100_tern_sq_witness,n93_dg,n93_dg_pv21,n93_dg_witness,n93_dg_sq,n93_dg_sq_pv21,n93_dg_sq_witness,n93_cbin,n93_cbin_pv21,n93_cbin_witness,n93_cbin_sq,n93_cbin_sq_pv21,n93_cbin_sq_witness
1,0.0547941527714371,0.1541182473406504,0.05079718434573422,0.0007845449099170997,0.007071660098133861,0.0009234629999999999,0.05274037782464738,0.13116908606244657,0.04814146591089007,0.0010707314888210614,0.005608358648882535,0.0009100040000000001,0.05520378523556382,0.12374158783457515,0.052176666944930845,0.001056358646097458,0.005291866031896977,0.000926965,0.08699228165621992,0.1149993777075167,0.048812185951940756,0.00265716085680187,0.004414781763460499,0.0009152699999999998
5,0.07889972146314381,0.18866150484502442,0.05023152655004884,0.0019009858839911214,0.01021901087952402,0.0009208799999999999,0.04936604815375428,0.1897105746892797,0.04525179094098547,0.001010690395592799,0.011044683121131296,0.000909002,0.06776215607502595,0.1891926305873898,0.051472202018440064,0.0010659763301428037,0.01042780323967858,0.0009220279999999998,0.08440858542160383,0.15120145499871276,0.04632388084297665,0.0030404433212593233,0.0073958470887683396,0.000906018
10,0.08006529229375653,0.20822547678439532,0.05049066399828707,0.0018433796265712892,0.01405968451258886,0.0009176780000000001,0.06734023764608768,0.19584441692705562,0.045930623748507565,0.0016768061236284194,0.011288881047785403,0.0009012639999999999,0.07838411186653835,0.19385048219679002,0.05020651857800853,0.001689651246119268,0.011153548240176413,0.00092049,0.07740535768330413,0.17976770521533966,0.04476240445202956,0.001977760554977589,0.01085723709963883,0.0008979140000000001
15,0.09803144187347974,0.20674160141152287,0.05025452074211909,0.003768323010977047,0.014997937454716385,0.0009163559999999998,0.07334387708789568,0.20412558225867722,0.04393613667295857,0.0020040614985582265,0.014571612326458696,0.0008955699999999999,0.10934752079303112,0.17752886761563183,0.04978252379123143,0.003684400826800237,0.00950902605243212,0.00091604,0.12095561563660986,0.16089755835803388,0.04379010049582141,0.005193541278974975,0.008372803008057381,0.0008934959999999999
20,0.08725212044866962,0.24619228926612863,0.05156034737045378,0.003281048484620527,0.019119151715709833,0.0009136320000000002,0.09061799180199658,0.20650262811157763,0.04381666999379781,0.003331742685972194,0.01492610998845319,0.000890788,0.1258957035013125,0.1889297469047974,0.05077427275675131,0.004567605654687564,0.011382898614452188,0.000915742,0.12046967713373168,0.18047657540449943,0.04034322438427589,0.005677446499926587,0.012294793296153586,0.0008837799999999999
