tours,n100_dg,n100_dg_pv21,n100_dg_witness,n100_dg_sq,n100_dg_sq_pv21,n100_dg_sq_witness,n100_tern,n100_tern_pv21,n100_tern_witness,n100_tern_sq,n100_tern_sq_pv21,n100_tern_sq_witness,n93_dg,n93_dg_pv21,n93_dg_witness,n93_dg_sq,n93_dg_sq_pv21,n93_dg_sq_witness,n93_cbin,n93_cbin_pv21,n93_cbin_witness,n93_cbin_sq,n93_cbin_sq_pv21,n93_cbin_sq_witness
5,0.2955637531526404,0.26964536123867244,0.15534839462304853,0.036605607593381384,0.03147227101453789,0.010085,0.27403565127246854,0.14874671928508637,0.1381904692233564,0.03369652548640216,0.007910859924967416,0.008745875,0.2918044083090959,0.2184099702518834,0.15140799667407573,0.03489785648463508,0.016838531075381982,0.009883375000000002,0.2625116625605815,0.13405221927174096,0.127058965453924,0.03975405355330489,0.006320870825761674,0.008424125
10,0.23119181766119634,0.461319061378552,0.16049986334413432,0.027059414718977784,0.10186303589809648,0.010310875000000002,0.17420570446555908,0.35367156419307333,0.140813670517179,0.013187386126979386,0.04317819468382775,0.008969875,0.28606932757476244,0.27578635022067854,0.15831445131211125,0.029407019202299052,0.027494372509965257,0.01023975,0.21529739747966115,0.34822808679489503,0.13671862157409276,0.019551530728880065,0.04427861608628213,0.008675
15,0.20120235622277471,0.625562101992259,0.16271377014496496,0.013413999795005627,0.15369951821360717,0.01056825,0.18532000913663177,0.4931804766039303,0.13992350076652987,0.019116776554660424,0.10783976091164199,0.009177499999999998,0.21964889398105744,0.5663803236280778,0.17045905035631578,0.023043782844903098,0.1242937468629996,0.010903250000000001,0.22257636937866887,0.41479810610388285,0.1426584638514219,0.022718567901056322,0.07816584615374882,0.00907925
20,0.18780804814563626,0.5567617410685533,0.15833848090492647,0.011768601135709173,0.13190605224270952,0.010711625000000002,0.17618560458329297,0.6546665106850351,0.14026806731470134,0.012292212491343397,0.16627584449988303,0.009300375000000001,0.19521367185306293,0.515900831678066,0.16798985812356249,0.013067654482563707,0.1120396625415579,0.010970875000000001,0.26182943372518214,0.43907688861277927,0.13724395010353502,0.0307448442868974,0.07894906242489762,0.00918475
